tokens,examples
"('swollen', 'adjective')",swollen
"('marennes', 'None')",marennes
"('monitor', 'noun')","The camp monitors look after the children during the night, when the teachers are asleep."
"('twenty-first', 'None')",twenty-first
"('place', 'verb')","Meanwhile Nanny Broome was recovering from her initial panic and seemed anxious to make up for any kudos she might have lost, by exerting her personality to the utmost. She took the policeman's helmet and placed it on a chair, and unfolded his tunic to shake it and fold it up again for him."
"('constrict', 'verb')",Synonym: inhibit
"('mock', 'adjective')",mock leather
"('particularity', 'noun')",Synonym:  particular
"('offer', 'noun')",What's in his offer?
"('forgotten', 'adjective')",forgotten
"('second-hand', 'adjective')","Her youth had passed in intrigues and vanities, and she still lived among them at second-hand: she now talked what she formerly did."
"('undefeated', 'adjective')",He was the undefeated tiddlywinks champion of the school.
"('flavour', 'noun')",The flavour of this apple pie is delicious.
"('ratify', 'verb')",They ratified the treaty.
"('sub-class', 'adjective')",sub-class
"('high-powered', 'adjective')",high-powered
"('streamline', 'verb')",streamline
"('mimic', 'verb')",An artificial kidney these days still means a refrigerator-sized dialysis machine. Such devices mimic the way real kidneys cleanse blood and eject impurities and surplus water as urine.
"('unep', 'noun')",unep
"('whitehall', 'None')",whitehall
"('tend', 'verb')",They tend to go out on Saturdays.
"('rioter', 'noun')",The rioters had erected a makeshift barricade and were pelting the police with rocks from behind it.
"('hub', 'noun')","If you need to reload film, the cassette can be rewound slightly by turning the hub located on one end of its spool."
"('kindness', 'noun')","Jamie's kindness is legendary, so much that people have taken advantage of her."
"('suckering', 'adjective')",suckering
"('rémy', 'None')",rémy
"('intermediate-level', 'adjective')",intermediate-level
"('spook', 'noun')",Synonyms: see Thesaurus:ghost
"('reptile', 'noun')","Synonyms: herptile, herp"
"('54', 'None')",54
"('filter', 'verb')",This strainer should filter out the large particles.
"('spark', 'verb')",The introduction of substitute Andy Carroll sparked Liverpool into life and he pulled a goal back just after the hour - and thought he had equalised as Kenny Dalglish's side laid siege to Chelsea's goal in the closing stages.
"('law-abiding', 'adjective')",The law-abiding citizens have nothing to fear from government surveillance... unless the government begins to break the law.
"('upperwork', 'noun')",upperwork
"('packaging', 'noun')",packaging
"('pitfall', 'noun')",Synonym: trap
"('ca', 'None')",ca
"('mosaic', 'noun')",mosaic
"('switzerland', 'None')",switzerland
"('graham', 'None')",graham
"('fairly', 'adverb')",A jury is expected to ensure that the accused is fairly judged.
"('follower', 'noun')",Coordinate term: followee
"('charity', 'noun')","‘[…] I remember a lady coming to inspect St. Mary's Home where I was brought up and seeing us all in our lovely Elizabethan uniforms we were so proud of, and bursting into tears all over us because “it was wicked to dress us like charity children”. […]’."
"('tailpiece', 'noun')",tailpiece
"('ulster', 'None')",ulster
"('soporific', 'adjective')",Synonyms: see Thesaurus:soporific
"('countess', 'None')",countess
"('revival', 'noun')",It is hard to sell a democratic partnership of nations from a stall that only stocks Conservative governments. Unionism needs a Labour revival in England.
"('8.30pm', 'adverb')",8.30pm
"('i.', 'None')",i.
"('dissemination', 'noun')","There was a third class, small indeed when compared to those vast multitudes actuated by fanaticism or interest, but destined to exercise the most beneficial and lasting influence—the reflecting and theoretic few, who saw in universal freedom the only tie between man and his kind—the only rational hope whereon to ground the dissemination of equitable principles among the human race."
"('yourselves', 'None')",yourselves
"('trick', 'noun')",It was just a trick to say that the house was underpriced.
"('mhm', 'None')",mhm
"('johnston', 'None')",johnston
"('unambiguous', 'adjective')","An LR grammar is clearly unambiguous, since the definition implies every derivation tree must have the same handle, and by induction there is only one possible tree. It is interesting to point out furthermore that nearly every grammar which is known to be unambiguous is either an LR grammar, or  is a right-to-left translatable grammar, or is some grammar which is translated using ""both ends toward the middle."" Thus, the LR condition may be regarded as the most powerful general test for nonambiguity that is now available."
"('collide', 'verb')","When a body collides with another, then momentum is conserved."
"('cut', 'verb')",You must cut this flesh from off his breast.
"('update', 'verb')",I need to update my records to take account of the most recent transaction.
"('basin', 'noun')","First, as you know, my house within the cityIs richly furnished with plate and gold,Basins and ewers to lave her dainty hands;"
"('drag', 'verb')",Let's drag this load of wood over to the shed.
"('brunei', 'None')",brunei
"('1123', 'None')",1123
"('co-operation', 'noun')","""Pray,"" said she, ""keep any thing like sentiment for Allerton. I am not the least afraid that you will have too much. But one thing I beg to observe—I shall expect active co-operation on your part. You are clever enough if you exert yourself, and that is what people usually do when it is for themselves."""
"('because', 'None')",because
"('correction', 'noun')","I have four T-80 tanks at grid Three-niner-niner-four-eight-eight, Correction: Grid Three niner-niner-four-eight-five. How copy? Over."
"('brazzo', 'None')",brazzo
"('roast', 'verb')","Coordinate terms: bake, boil, broil, fry, grill, poach, toast"
"('interface', 'noun')",Public relations firms often serve as the interface between a company and the press.
"('1920s', 'None')",1920s
"('lion', 'noun')",Tigers and lions share a common ancestor from a few million years ago.
"('jerk', 'noun')","The black cloth bestrewn with white beads blew up from time to time, laying bare the coffin. The tired bearers walked more slowly, and it advanced with constant jerks, like a boat that pitches with every wave."
"('revision', 'noun')",Revision can turn a passable paper into an excellent one and change an excellent one into a radiant one.
"('radical', 'noun')",radical
"('substitute', 'noun')","Synonyms: substituend, surrogate; see also Thesaurus:substitute"
"('van', 'None')",van
"('enviable', 'adjective')",He [Douglas William Jerrold] had achieved many enviable dramatic successes before this time.
"('retune', 'noun')",retune
"('teresa', 'None')",teresa
"('illusion', 'noun')","We saw what looked like a tiger among the trees, but it was an illusion caused by the shadows of the branches."
"('rationally', 'adverb')",rationally
"('quote', 'verb')",The writer quoted the president's speech.
"('audit', 'noun')",National Assembly audit
"('giggle', 'noun')",We put itching powder down his shirt for giggles.
"('biography', 'noun')",There are many biographies of Benjamin Franklin.
"('initial', 'adjective')",Our initial admiration for their efficiency gave way to disgust about their methods.
"('limbo', 'noun')","Of vvhat texte thou proueſt hell, vvyll another proue purgatory, another lymbo patrum, & another the aſſumpcion of our lady: & another ſhall proue of the ſame texte that an Ape hath atayle."
"('self-destruct', 'verb')",If you keep drinking too much you are going to self-destruct.
"('commission', 'verb')",James Bond was commissioned with recovering the secret documents.
"('spiral', 'noun')",spiral
"('windy', 'adjective')",It was a long and windy night.
"('fasten', 'verb')",The sailor fastened the boat to the dock with a half-hitch.
"('form', 'verb')",When you kids form a straight line I'll hand out the lollies.
"('erosion', 'noun')",Father Ted: The cliffs were gone? How could they just disappear?Dougal: Erosion.
"('shape', 'verb')",Earth was shapen by God for God's folk.
"('dimension', 'noun')","This film can be enjoyed on many dimensions - the script is great, the acting is realistic, and the special effects will simply take you aback."
"('pc', 'noun')",pc
"('sketchily', 'adverb')","But, bowing with sketchily joined hands, they smiled their way clumsily out, down to the darkness."
"('midfield', 'noun')","England's win was built on industry and discipline, epitomised by the performances of Manchester City's Joleon Lescott in defence and Scott Parker in midfield."
"('routinely', 'adverb')","The risk of going out of business was very real, they had suffered disastrous presidents, routinely lost their best players, and were effectively owned by a bailed-out bank, so Lim was welcomed as their saviour."
"('triumphant', 'adjective')",a triumphant chariot
"('wedge', 'verb')",I wedged open the window with a screwdriver.
"('attend', 'verb')",The diligent pilot in a dangerous tempest doth not attend the unskilful words of the passenger.
"('zwaga', 'None')",zwaga
"('13e', 'None')",13e
"('passionate', 'adjective')",Mandy is a passionate lover.
"('clean', 'verb')",Can you clean the windows today?
"('technical', 'adjective')",One example of the blurring of boundaries is the growing interdependence of social and technical skills. The sales engineers and the clients' engineers are all knowledge workers.
"('foot', 'noun')",A spider has eight feet.
"('unforecast', 'noun')",unforecast
"('nuisance', 'noun')",The neighbor's dog barking throughout the night is a right nuisance - I'm going to complain.
"('1949', 'None')",1949
"('construction', 'noun')",Construction is underway on the new bridge.
"('life-style', 'noun')",life-style
"('cedric', 'None')",cedric
"('stainton', 'None')",stainton
"('infrequent', 'adjective')",infrequent
"('mercedes', 'None')",mercedes
"('teeming', 'adjective')",teeming
"('essay', 'noun')","In his first book since the 2008 essay collection Natural Acts: A Sidelong View of Science and Nature, David Quammen looks at the natural world from yet another angle: the search for the next human pandemic, what epidemiologists call “the next big one.”"
"('class', 'verb')",I would class this with most of the other mediocre works of the period.
"('encouragement', 'noun')","even their arch-enemy the gamekeeper is beginning reluctantly, but gradually, to acquiesce in the general belief of their innocence and utility, I cannot help indulging the hope that this bird will eventually meet with that general encouragement and protection to which its eminent services so richly entitle it."
"('101', 'None')",101
"('trifle', 'noun')","Coordinate terms: tiramisu, bread pudding"
"('queen', 'None')",queen
"('sleekness', 'noun')",sleekness
"('int', 'None')",int
"('lead-only', 'adjective')",lead-only
"('havvaher', 'None')",havvaher
"('line', 'noun')",The arrow descended in a curved line.
"('fury', 'noun')","Heav'n has no Rage, like Love to Hatred turn'd, / Nor Hell a Fury, like a Woman ſcorn'd."
"('nigger', 'noun')",Hypernyms: see Thesaurus:person of color
"('christiansen', 'None')",christiansen
"('hmm', 'None')",hmm
"('toulouse', 'None')",toulouse
"('thomson', 'None')",thomson
"('angevin', 'None')",angevin
"('vaginal', 'adjective')","You may have a vaginal birth, C-section or surrogacy; it's up to you."
"('manufacture', 'verb')","Scientists are learning how to manufacture sperm and egg cells from other types of cell; others are developing ""alternative"" wombs"
"('distance', 'verb')",He distanced himself from the comments made by some of his colleagues.
"('poky', 'adjective')",poky
"('ga', 'None')",ga
"('stateroom', 'noun')","The King's coach includes His Majesty's suite comprising a study and stateroom with adjoining bathroom having inter-leading door.  […]  In the Queen's coach are the Queen's stateroom and bathroom, the Royal Family lounge, lady-in-waiting's compartment and bathroom, and dresser's room.  […]  Princess Elizabeth and Princess Margaret are accommodated in one coach, and each of the two suites comprises a stateroom with its adjoining bathroom."
"('sailor', 'noun')",He's a talented sailor and has spent many years at sea.
"('breadth', 'noun')",The breadth of the corridor is 4.5 metres.
"('grassland', 'noun')",grassland
"('confidentiality', 'noun')",confidentiality
"('park', 'verb')",You can park the car in front of the house.
"('unwilling', 'adjective')",an unwilling servant
"('ill', 'adjective')",St. Paul chose to magnify his office when ill men conspired to lessen it.
"('oakenshaw', 'None')",oakenshaw
"('disincentive', 'noun')",disincentive
"('any', 'None')",any
"('compromise', 'verb')",Laban and himself were compromised / That all the eanlings which were streaked and pied / Should fall as Jacob's hire.
"('swinging', 'adjective')",The party was swinging.
"('mpg', 'noun')",mpg
"('quandry', 'noun')",quandry
"('harm', 'noun')",No harm came to my possessions.
"('czechoslovakia', 'None')",czechoslovakia
"('de facto', 'adjective')","Although the United States currently has no official language, it is largely monolingual with English being the de facto national language."
"('ashe', 'verb')",ashe
"('pervasive', 'adjective')",The medication had a pervasive effect on the patient's health.
"('1000', 'None')",1000
"('appalled', 'adjective')","But the purported rise in violent videos online has led some MPs to campaign for courts to have more power to remove or block material on YouTube. The Labour MP Heidi Alexander said she was appalled after a constituent was robbed at knifepoint, and the attackers could be found brandishing weapons and rapping about gang violence online."
"('rusty', 'adjective')","Alive? he might be dead for aught I know, / With that red gaunt and colloped neck a-strain, / And shut eyes underneath the rusty mane;"
"('residential', 'adjective')",They live in a residential neighborhood.
"('stilton', 'None')",stilton
"('gilded', 'adjective')","All that glisters is not gold;Often have you heard that told:Many a man his life hath soldBut my outside to behold:Gilded tombs do worms infold.Had you been as wise as bold,Young in limbs, in judgement old,Your answer had not been inscroll'd:Fare you well; your suit is cold."
"('man', 'None')",man
"('funerary', 'adjective')","The team says it has uncovered Bronze Age burnt mounds which heated water from the River Cole, Iron Age houses and funerary remains, plus evidence of Roman salt processing."
"('breakfast', 'noun')",You should put more protein in her breakfast so she will grow.
"('militant', 'adjective')",The upper tiers of the foreign ministry were quick to embrace a militant policy.
"('harvard', 'None')",harvard
"('modest', 'adjective')",He earns a modest amount of money.
"('doctoral', 'adjective')",We have no need of doctorall consultations or collegian interpretations. Our senses tell us where it is and what it is.
"('27', 'None')",27
"('stirring', 'noun')","The reduction takes the central bank back to where it was in December 2005, when it began raising its key rate despite objections from some political figures and many economists about choking the early stirrings of a recovery in growth."
"('violate', 'verb')","Antonyms: comply, obey"
"('stink', 'verb')",That movie stinks. I didn't even stay for the end.
"('politics', 'noun')","There are by now many feminisms . [...] They are in shifting alliance or contest with postmodern critiques, which at times seem to threaten the very category 'women' and its possibilities for a feminist politics."
"('wee', 'verb')",I need to wee! I can't hold it any longer!
"('trussing', 'adjective')","Sable, a falcon or, his wings expanded, trussing a mallard argent, on a chief of the latter, a cross botoné […]"
"('survival', 'noun')",His survival in the open ocean was a miracle; he had fully expected to die.
"('vector', 'noun')",Hypernym: tensor
"('jacobson', 'noun')",jacobson
"('defuse', 'verb')",to defuse a hostage situation
"('charles', 'None')",charles
"('move', 'noun')",Synonyms: see Thesaurus:movement
"('goodson', 'None')",goodson
"('xy', 'None')",xy
"('grasp', 'verb')",I have never been able to grasp the concept of infinity.
"('reactivate', 'verb')",reactivate
"('gamble', 'verb')",Mark won half a million dollars gambling on horses.
"('comparable', 'adjective')",An elephant is comparable in size to a double-decker bus.
"('scotland', 'None')",scotland
"('pervade', 'verb')",Cruel wars pervade history.
"('silver', 'adjective')","He looked round the poor room, at the distempered walls, and the bad engravings in meretricious frames, the crinkly paper and wax flowers on the chiffonier; and he thought of a room like Father Bryan's, with panelling, with cut glass, with tulips in silver pots, such a room as he had hoped to have for his own."
"('guidance', 'noun')",divine guidance
"('bay', 'noun')","both you here with many a cursed oth, / Sweare she is yours, and stirre vp bloudie frayes, / To win a willow bough, whilest other weares the bayes."
"('subpoena', 'noun')",Summoned by a stern subpoena Edwin sued by Angelina Shortly will appear.
"('disorder', 'noun')","It was a household in permanent and benevolent  disorder, pervaded by the gentle thrill of religious persecution."
"('hearth', 'noun')",cooking on an open hearth
"('validity', 'noun')",validity
"('disco', 'noun')","Synonyms: club, nightclub"
"('bir', 'None')",bir
"('francis', 'None')",francis
"('fondle', 'verb')",Mothers fondle their babies.
"('institutionalised', 'adjective')",institutionalised
"('initially', 'adverb')","Initially, I found city life incredibly difficult, but now I'm used to it."
"('vanished', 'adjective')",vanished
"('whetton', 'None')",whetton
"('background', 'noun')",The lawyer had a background in computer science.
"('lmx', 'None')",lmx
"('theology', 'noun')",Synonym:  godlore
"('stereometric', 'adjective')",stereometric
"('gynaecologist', 'noun')","In the last analysis, the fate of each individual woman rests in the hands of the gynaecologist."
"('flowery', 'adjective')","At last she reached a flowery knoll, at whose feet ran a little burn, shaded with woodbine and wild roses; and there she sat down, burying her face in her hands."
"('marge', 'noun')","[…]  And thy sea-marge, sterile and rocky-hard,Where thou thyself dost air [...]"
"('chernobyl', 'None')",chernobyl
"('redress', 'verb')","Let us divide our labours; thou, where choice / Leads thee, or where most needs, whether to wind / The woodbine round this arbour, or direct / The clasping ivy where to climb; while I, / In yonder spring of roses intermixed / With myrtle, find what to redress till noon:  […]"
"('poppy', 'noun')","In Flanders fields the poppies blow / Between the crosses, row on row, / That mark our place; [...] / If ye break faith with us who die / We shall not sleep, though poppies grow / In Flanders fields."
"('dispersal', 'noun')","Plant breeding is always a numbers game. […] The wild species we use are rich in genetic variation, […]. In addition, we are looking for rare alleles, so the more plants we try, the better. These rarities may be new mutations, or they can be existing ones that are neutral—or are even selected against—in a wild population. A good example is mutations that disrupt seed dispersal, leaving the seeds on the heads long after they are ripe."
"('under', 'adverb')",pulled under by the currents
"('museum', 'noun')",visit the history museum
"('non-collection', 'noun')",non-collection
"('directly', 'adverb')","He drove directly to the office, and didn't stop off at the petrol station."
"('kant', 'None')",kant
"('sorceress', 'noun')","The strange-looking chamber, the red glare of the charcoal, her tall form, and long black hair loose, realised the wildest dream of one of the sorceresses of old, bending over herb and drug, to form their potent spells."
"('genial', 'adjective')",Men of genius have so often attacht the highest value to their less genial works.
"(""t'mill"", 'noun')",t'mill
"('haber', 'noun')",haber
"('invariably', 'adverb')",He is invariably late for meetings.
"('repugnant', 'adjective')",repugnant
"('quayside', 'noun')","It was purchased by the Isle of Wight Railway in 1882, and continued to work between Brading and Bembridge until 1917, when it was taken over by the War Department, and sent overseas for war service in Mesopotamia, whence it never returned. It survived until at least 1921, when it was observed on the quayside at Basra."
"('crime', 'noun')","No crime was thine, if 'tis no crime to love."
"('diversion', 'noun')","Of those therefore that have attained to the highest degree of honour and riches, some have affected mastery in some art; as Nero in music and poetry, Commodus in the art of a gladiator. And such as affect not some such thing, must find diversion and recreation of their thoughts in the contention either of play, or business."
"('rampaging', 'noun')",rampaging
"('commute', 'verb')",to commute tithes into rentcharges for a sum
"('interfere', 'verb')",I always try not to interfere with other people’s personal affairs.
"('adams', 'None')",adams
"('generality', 'noun')","""You must not come to me,"" answered her listener, ""for a defence of society; I have long since loathed its bitterness as much as I despise its baseness. You cannot know the miserably mean motives that actuate the generality; but the trifles so sought give their own narrowness to the mind."""
"('on top of', 'preposition')",Living on top of one another in a refugee camp is stressful.
"('painfully', 'adverb')",I limped painfully down the stairs.
"('quantitative', 'adjective')",quantitative
"('view', 'verb')",The video was viewed by millions of people.
"('thousand', 'None')",thousand
"('jersey', 'None')",jersey
"('mica-rich', 'adjective')",mica-rich
"('proficiently', 'adverb')",proficiently
"('extrusion', 'noun')",extrusion
"('monday', 'None')",monday
"('notion', 'noun')","What hath been generally agreed on, I content myself to assume under the notion of principles."
"('skilful', 'adjective')",More than once have I spoken to willing listeners because of some one who had come under skilful kindly treatment in the hospital at Taiwan-fu.
"('stumble', 'verb')",He stumbled up the dark avenue.
"('usa', 'None')",usa
"('rufus', 'None')",rufus
"('economy', 'noun')","animal economy, vegetable economy"
"('organiser', 'noun')",organiser
